
Interrupt method selected.

Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple.

Please, press PB0 to continue.
1388, 694, 11316, 231, 0, 0
1390, 695, 11324, 231, 0, 0
1392, 696, 11325, 231, 0, 0
1394, 697, 11330, 231, 0, 0
1396, 698, 11335, 231, 0, 0
1398, 699, 11343, 231, 0, 0
1400, 700, 11363, 231, 0, 0
1402, 701, 11392, 231, 0, 0
1404, 702, 11377, 231, 0, 0
1406, 703, 11361, 231, 0, 0
1408, 704, 11345, 231, 0, 0
1410, 705, 11375, 231, 0, 0
1412, 706, 11371, 231, 0, 0
1414, 707, 11371, 231, 0, 0
1416, 708, 11376, 231, 0, 0
1418, 709, 11386, 231, 0, 0
1420, 710, 11384, 231, 0, 0
1422, 711, 11388, 231, 0, 0
1424, 712, 11395, 231, 0, 0
1426, 713, 11401, 231, 0, 0
1428, 714, 11406, 231, 0, 0
1430, 715, 11413, 231, 0, 0
1432, 716, 11420, 231, 0, 0
1434, 717, 11417, 231, 0, 0
1436, 718, 11433, 231, 0, 0
1438, 719, 11429, 231, 0, 0
1440, 720, 11440, 231, 0, 0
1442, 721, 11427, 231, 0, 0
1444, 722, 11451, 231, 0, 0
1446, 723, 11443, 231, 0, 0
1448, 724, 11453, 231, 0, 0
1450, 725, 11475, 231, 0, 0
1452, 726, 11459, 231, 0, 0
1454, 727, 11465, 231, 0, 0
1456, 728, 11469, 231, 0, 0
1458, 729, 11473, 231, 0, 0
1460, 730, 11488, 231, 0, 0
1462, 731, 11487, 231, 0, 0
1464, 732, 11487, 231, 0, 0
1466, 733, 11492, 231, 0, 0
1468, 734, 11499, 231, 0, 0
1470, 735, 11544, 231, 0, 0
1472, 736, 11529, 231, 0, 0
1474, 737, 11518, 232, 0, 0
1476, 738, 11501, 231, 0, 0
1478, 739, 11513, 231, 0, 0
1480, 740, 11509, 231, 0, 0
1482, 741, 11514, 231, 0, 0
